X0, X1, LABEL, ESTIMATED_LABEL, RAW_SCORE
-0.392323, -0.0841247, 1, 1, 0.62364
1.71812, -2.00205, 1, 0, 0.245995
-0.756658, 0.946304, 1, 0, 0.449657
-0.154858, -0.83068, 1, 1, 0.76267
-0.343959, 0.121487, 1, 1, 0.529632
-1.17832, 1.4551, 1, 0, 0.482155
-2.22078, 0.244371, 1, 1, 1.40678
-0.770494, -1.42584, 1, 1, 1.26773
-0.392323, -0.0841247, 1, 1, 0.62364
-0.577285, 0.64813, 1, 0, 0.463787
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
0.245923, -0.109415, 1, 0, 0.319707
0.715485, -1.69063, 1, 1, 0.63053
-0.387819, -0.812605, 1, 1, 0.870582
0.21313, -0.910252, 1, 1, 0.609662
-0.392323, -0.0841247, 1, 1, 0.62364
-1.1969, 1.61576, 1, 0, 0.436306
-0.392323, -0.0841247, 1, 1, 0.62364
0.941116, -0.81258, 1, 0, 0.219723
1.67548, -0.831522, 1, 0, 0
0.600052, -1.2836, 1, 1, 0.547854
-1.52309, 2.16668, 1, 0, 0.407639
-1.07237, 0.122539, 1, 1, 0.886016
-0.392323, -0.0841247, 1, 1, 0.62364
-0.310222, -2.09768, 1, 1, 1.27209
-0.392323, -0.0841247, 1, 1, 0.62364
0.58864, -0.453837, 1, 0, 0.269656
-1.06009, 0.90378, 1, 1, 0.612805
-0.676554, 0.957631, 1, 0, 0.406551
-0.392323, -0.0841247, 1, 1, 0.62364
1.0795, -0.890031, 1, 0, 0.17844
-0.603417, 0.441506, 1, 1, 0.547253
1.3088, -0.682596, 1, 0, 0
-1.02211, -2.73117, 1, 2, 1.8374
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-0.238027, -0.541264, 1, 1, 0.70442
-0.629231, -0.254456, 1, 1, 0.797921
-0.826306, -1.72448, 1, 1, 1.3972
-0.201737, 0.551112, 1, 0, 0.313042
0.219734, -2.53759, 1, 1, 1.16299
-0.137864, 1.43008, 1, 0, 0
-0.250101, 0.209794, 1, 0, 0.453463
-1.14044, 0.565364, 1, 1, 0.767902
-1.44396, -0.145735, 1, 1, 1.15976
0.853538, -0.975825, 1, 0, 0.318446
-0.312417, -2.05324, 1, 1, 1.25797
-0.392323, -0.0841247, 1, 1, 0.62364
0.171158, -1.2147, 1, 1, 0.734341
-0.392323, -0.0841247, 1, 1, 0.62364
0.205311, -1.40614, 1, 1, 0.783092
-0.392323, -0.0841247, 1, 1, 0.62364
-0.142789, -0.0258961, 1, 0, 0.481515
-0.392323, -0.0841247, 1, 1, 0.62364
-0.94616, 0.102414, 1, 1, 0.831085
-0.392323, -0.0841247, 1, 1, 0.62364
-1.09256, -0.82822, 1, 1, 1.22107
-1.78791, 1.24224, 1, 1, 0.853504
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-0.632745, 1.08612, 1, 0, 0.341152
-0.392323, -0.0841247, 1, 1, 0.62364
-0.957126, -0.257233, 1, 1, 0.959459
-0.392323, -0.0841247, 1, 1, 0.62364
0.9554, -0.974204, 1, 0, 0.268005
-0.888148, 0.021121, 1, 1, 0.830477
-0.411023, 0.312473, 1, 0, 0.497157
-1.03751, 2.2874, 1, 0, 0.128535
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-1.18725, -1.02178, 1, 1, 1.33365
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-1.3422, 0.37673, 1, 1, 0.931229
-0.505578, -0.184039, 1, 1, 0.713279
1.38994, -1.67082, 1, 0, 0.293439
-2.44252, -0.934991, 1, 2, 1.91873
-0.430013, -0.344121, 1, 1, 0.73102
-0.564082, -0.724656, 1, 1, 0.926828
-0.392323, -0.0841247, 1, 1, 0.62364
-1.55866, 0.875812, 1, 1, 0.866549
-0.194414, 1.14195, 1, 0, 0.107384
-0.485051, -0.700865, 1, 1, 0.879986
-0.921438, -0.448774, 1, 1, 1.00749
-0.392323, -0.0841247, 1, 1, 0.62364
0.686939, -0.736305, 1, 0, 0.318121
-0.40168, 0.544994, 1, 0, 0.413057
-1.12815, -1.40949, 1, 1, 1.4373
-0.345926, 0.731943, 1, 0, 0.321813
-0.319663, -0.804106, 1, 1, 0.834296
-0.392323, -0.0841247, 1, 1, 0.62364
-0.392323, -0.0841247, 1, 1, 0.62364
-0.0306357, -0.264576, 1, 1, 0.508219
-0.164541, -1.69503, 1, 1, 1.06303
1.82237, -0.243528, 1, 0, 0
0.686328, -0.184474, 1, 0, 0.129688
0.805304, -1.49275, 1, 1, 0.518861
1.04571, -0.596528, 1, 0, 1.19416e-320
0.307502, 0.320088, 0, 0, 0.142653
0.297115, 0.521191, 0, 0, 0.0789609
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
1.4098, 0.574924, 0, 0, 0
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
0.307502, 0.320088, 0, 0, 0.142653
